"date";"pronostico";"Unidades"
"252";2012-09-08;357.03;489
"253";2012-09-09;7.656;30
"254";2012-09-10;893.749;1095
"255";2012-09-11;1067.696;1204
"256";2012-09-12;1214.02;1347
"257";2012-09-13;1305.395;1439
"258";2012-09-14;1360.404;1293
"259";2012-09-15;369.611;405
"260";2012-09-16;7.507;0
"261";2012-09-17;876.149;930
"262";2012-09-18;1010.786;933
"263";2012-09-19;1225.415;1320
"264";2012-09-20;1401.345;1353
"265";2012-09-21;1274.008;1231
"266";2012-09-22;380.511;313
"267";2012-09-23;8.177;41
"268";2012-09-24;837.198;840
"269";2012-09-25;1189.993;1033
"270";2012-09-26;1402.804;1287
"271";2012-09-27;1467.305;1335
"272";2012-09-28;1681.551;1415
"273";2012-09-29;564.058;422
"274";2012-09-30;13.024;0
"275";2012-10-01;632.671;813
"276";2012-10-02;758.403;1110
"277";2012-10-03;1028.777;1280
"278";2012-10-04;1095.045;1352
"279";2012-10-05;1158.168;1360
"280";2012-10-06;351.21;400
"281";2012-10-07;7.466;10
"282";2012-10-08;831.327;1195
"283";2012-10-09;1083.359;1209
"284";2012-10-10;1279.896;1299
"285";2012-10-11;1251.304;1324
"286";2012-10-12;1297.612;1275
"287";2012-10-13;390.919;326
"288";2012-10-14;8;18
"289";2012-10-15;18.54;0
"290";2012-10-16;1062.337;752
"291";2012-10-17;1254.691;1022
"292";2012-10-18;1184.607;853
"293";2012-10-19;1309.79;1319
"294";2012-10-20;419.653;391
"295";2012-10-21;7.492;7
"296";2012-10-22;886.002;866
"297";2012-10-23;1157.185;1057
"298";2012-10-24;1198.911;1159
"299";2012-10-25;1394.632;1180
"300";2012-10-26;1499.394;1203
"301";2012-10-27;439.406;327
"302";2012-10-28;9.888;1
"303";2012-10-29;1313.38;828
"304";2012-10-30;1843.066;1281
"305";2012-10-31;1675.627;1195
"306";2012-11-01;960.797;1088
"307";2012-11-02;965.063;1320
"308";2012-11-03;326.709;289
"309";2012-11-04;6.992;0
"310";2012-11-05;17.26;0
"311";2012-11-06;1059.673;875
"312";2012-11-07;1257.809;1095
"313";2012-11-08;1262.482;1318
"314";2012-11-09;1378.566;1361
"315";2012-11-10;406.457;336
"316";2012-11-11;7.99;0
"317";2012-11-12;19.339;0
"318";2012-11-13;1179.485;855
"319";2012-11-14;1347.767;1142
"320";2012-11-15;1306.967;1205
"321";2012-11-16;1351.817;1186
