FECHA;YEAR;TRM 
18/07/2013;2013;1873.25
19/07/2013;2013;1883.29
20/07/2013;2013;1884.01
23/07/2013;2013;1880.87
24/07/2013;2013;1886.06
25/07/2013;2013;1891.02
26/07/2013;2013;1887.40
27/07/2013;2013;1886.26
30/07/2013;2013;1888.95
31/07/2013;2013;1890.33
1/08/2013;2013;1896.15
2/08/2013;2013;1896.65
3/08/2013;2013;1891.67
6/08/2013;2013;1883.24
7/08/2013;2013;1882.01
9/08/2013;2013;1877.23
10/08/2013;2013;1873.92
13/08/2013;2013;1868.90
14/08/2013;2013;1882.36
15/08/2013;2013;1883.15
16/08/2013;2013;1901.03
17/08/2013;2013;1907.06
21/08/2013;2013;1922.73
22/08/2013;2013;1929.75
23/08/2013;2013;1921.99
24/08/2013;2013;1911.16
27/08/2013;2013;1922.96
28/08/2013;2013;1938.26
29/08/2013;2013;1939.85
30/08/2013;2013;1943.04
31/08/2013;2013;1935.43
4/09/2013;2013;1946.28
5/09/2013;2013;1938.99
6/09/2013;2013;1952.11
7/09/2013;2013;1947.99
10/09/2013;2013;1946.06
11/09/2013;2013;1935.55
12/09/2013;2013;1923.64
13/09/2013;2013;1919.25
14/09/2013;2013;1919.54
17/09/2013;2013;1917.03
18/09/2013;2013;1914.12
19/09/2013;2013;1911.30
20/09/2013;2013;1887.30
21/09/2013;2013;1889.12
24/09/2013;2013;1892.89
25/09/2013;2013;1888.14
26/09/2013;2013;1893.42
27/09/2013;2013;1899.10
28/09/2013;2013;1914.65
1/10/2013;2013;1908.29
2/10/2013;2013;1893.77
3/10/2013;2013;1884.97
4/10/2013;2013;1889.95
5/10/2013;2013;1886.78
8/10/2013;2013;1885.19
9/10/2013;2013;1889.17
10/10/2013;2013;1894.06
11/10/2013;2013;1885.84
12/10/2013;2013;1883.65
16/10/2013;2013;1883.70
17/10/2013;2013;1880.91
18/10/2013;2013;1879.48
19/10/2013;2013;1879.88
22/10/2013;2013;1885.52
23/10/2013;2013;1879.46
24/10/2013;2013;1883.14
25/10/2013;2013;1882.11
26/10/2013;2013;1882.34
29/10/2013;2013;1884.43
30/10/2013;2013;1883.42
31/10/2013;2013;1884.06
1/11/2013;2013;1889.16
2/11/2013;2013;1901.22
6/11/2013;2013;1916.22
7/11/2013;2013;1916.80
8/11/2013;2013;1924.87
9/11/2013;2013;1932.77
13/11/2013;2013;1928.96
14/11/2013;2013;1932.03
15/11/2013;2013;1929.24
16/11/2013;2013;1919.89
19/11/2013;2013;1915.37
20/11/2013;2013;1919.20
21/11/2013;2013;1923.19
22/11/2013;2013;1932.42
23/11/2013;2013;1929.13
26/11/2013;2013;1926.99
27/11/2013;2013;1926.74
28/11/2013;2013;1928.25
30/11/2013;2013;1931.88
3/12/2013;2013;1934.16
4/12/2013;2013;1941.01
5/12/2013;2013;1948.48
6/12/2013;2013;1940.26
7/12/2013;2013;1936.33
10/12/2013;2013;1932.71
11/12/2013;2013;1933.52
12/12/2013;2013;1935.61
13/12/2013;2013;1935.89
14/12/2013;2013;1930.87
17/12/2013;2013;1934.95
18/12/2013;2013;1936.14
19/12/2013;2013;1945.60
20/12/2013;2013;1943.46
21/12/2013;2013;1935.93
24/12/2013;2013;1925.45
25/12/2013;2013;1922.76
27/12/2013;2013;1921.22
28/12/2013;2013;1922.56
31/12/2013;2013;1926.83
3/01/2014;2014;1938.89
4/01/2014;2014;1936.92
8/01/2014;2014;1930.45
9/01/2014;2014;1933.24
10/01/2014;2014;1934.88
11/01/2014;2014;1926.55
14/01/2014;2014;1924.79
15/01/2014;2014;1932.59
16/01/2014;2014;1941.45
17/01/2014;2014;1947.15
18/01/2014;2014;1957.86
22/01/2014;2014;1981.98
23/01/2014;2014;1983.48
24/01/2014;2014;1993.23
25/01/2014;2014;2000.48
28/01/2014;2014;1997.91
29/01/2014;2014;2000.56
30/01/2014;2014;2013.17
31/01/2014;2014;2008.26
1/02/2014;2014;2021.10
4/02/2014;2014;2039.85
5/02/2014;2014;2041.34
6/02/2014;2014;2048.75
7/02/2014;2014;2049.52
8/02/2014;2014;2046.06
11/02/2014;2014;2048.55
12/02/2014;2014;2041.61
13/02/2014;2014;2031.75
14/02/2014;2014;2032.99
15/02/2014;2014;2022.68
19/02/2014;2014;2028.54
20/02/2014;2014;2042.22
21/02/2014;2014;2052.46
22/02/2014;2014;2043.96
25/02/2014;2014;2042.67
26/02/2014;2014;2045.45
27/02/2014;2014;2053.11
28/02/2014;2014;2054.90
1/03/2014;2014;2046.75
4/03/2014;2014;2052.51
5/03/2014;2014;2047.75
6/03/2014;2014;2045.14
7/03/2014;2014;2030.02
8/03/2014;2014;2036.20
11/03/2014;2014;2042.78
12/03/2014;2014;2043.59
13/03/2014;2014;2047.59
14/03/2014;2014;2044.48
15/03/2014;2014;2044.58
18/03/2014;2014;2035.16
19/03/2014;2014;2034.86
20/03/2014;2014;2017.38
21/03/2014;2014;1998.60
22/03/2014;2014;1993.85
26/03/2014;2014;1978.63
27/03/2014;2014;1973.03
28/03/2014;2014;1965.64
29/03/2014;2014;1965.32
1/04/2014;2014;1969.45
2/04/2014;2014;1966.02
3/04/2014;2014;1963.51
4/04/2014;2014;1966.40
5/04/2014;2014;1951.85
8/04/2014;2014;1937.59
9/04/2014;2014;1923.95
10/04/2014;2014;1931.09
11/04/2014;2014;1920.93
12/04/2014;2014;1927.28
15/04/2014;2014;1926.47
16/04/2014;2014;1932.42
17/04/2014;2014;1930.62
22/04/2014;2014;1921.75
23/04/2014;2014;1929.66
24/04/2014;2014;1936.63
25/04/2014;2014;1936.07
26/04/2014;2014;1942.37
29/04/2014;2014;1936.13
30/04/2014;2014;1935.14
1/05/2014;2014;1933.46
3/05/2014;2014;1926.30
6/05/2014;2014;1923.07
7/05/2014;2014;1918.20
8/05/2014;2014;1912.97
9/05/2014;2014;1902.15
10/05/2014;2014;1901.51
13/05/2014;2014;1904.85
14/05/2014;2014;1919.70
15/05/2014;2014;1925.31
16/05/2014;2014;1927.80
17/05/2014;2014;1925.41
20/05/2014;2014;1921.16
21/05/2014;2014;1920.41
22/05/2014;2014;1911.33
23/05/2014;2014;1905.80
24/05/2014;2014;1905.53
28/05/2014;2014;1917.34
29/05/2014;2014;1910.80
30/05/2014;2014;1905.96
31/05/2014;2014;1900.64
4/06/2014;2014;1899.74
5/06/2014;2014;1897.70
6/06/2014;2014;1892.08
7/06/2014;2014;1886.09
10/06/2014;2014;1883.76
11/06/2014;2014;1884.97
12/06/2014;2014;1884.63
13/06/2014;2014;1877.18
14/06/2014;2014;1877.37
17/06/2014;2014;1886.62
18/06/2014;2014;1899.90
19/06/2014;2014;1895.92
20/06/2014;2014;1881.34
21/06/2014;2014;1884.56
25/06/2014;2014;1886.85
26/06/2014;2014;1880.37
27/06/2014;2014;1886.01
28/06/2014;2014;1881.19
2/07/2014;2014;1865.42
3/07/2014;2014;1856.73
4/07/2014;2014;1848.91
8/07/2014;2014;1849.28
9/07/2014;2014;1854.24
